순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"958","국내도서","최재천의 공부","8934943459","9788934943457","03100","김영사","최재천.안희경 지음","16,500","14,850","1,650","10%","820점","20220518","57984"
"959","국내도서","계속 가보겠습니다","K282838912","9791157062645","03330","메디치미디어","임은정 지음","18,000","16,200","1,800","10%","900점","20220722","57712"
"960","국내도서","세금 내는 아이들","8947547263","9788947547260","73320","한국경제신문","옥효진 지음, 김미연 그림","14,000","12,600","1,400","10%","700점","20210615","33784"
"961","국내도서","변화하는 세계 질서","K892837234","9791157845798","03320","한빛비즈","레이 달리오 지음, 송이루.조용빈 옮김","38,000","34,200","3,800","10%","1,900점","20220601","32946"
"962","국내도서","수학 잘하는 아이는 이렇게 공부합니다","K502830918","9791196848194","03370","블루무스","류승재 지음","16,800","15,120","1,680","10%","840점","20221209","26243"
"963","국내도서","랑과 나의 사막","K572830160","9791167901354","04810","현대문학","천선란 지음","13,000","11,700","1,300","10%","650점","20221025","22780"
"964","국내도서","해커스 토플 리딩 인터미디엇 (Hackers TOEFL Reading Intermediate)","8965423015","9788965423010","13740","해커스어학연구소(Hackers)","David Cho 지음","21,900","19,710","2,190","10%","1,090점","20190801","21575"
"965","국내도서","다정한 말, 단단한 말","K812839334","9791167550743","77810","우리학교","고정욱 지음, 릴리아 그림","15,500","13,950","1,550","10%","770점","20221021","18856"
"966","국내도서","어른의 문해력","8968333769","9788968333767","03800","블랙피쉬","김선영 지음","14,000","12,600","1,400","10%","700점","20220519","16556"
"967","국내도서","역설계","K512839674","9791167740694","03320","어크로스","론 프리드먼 지음, 이수경 옮김","17,800","16,020","1,780","10%","890점","20220913","15411"
"968","국내도서","당신도 초자연적이 될 수 있다","K432636214","9791188244454","03180","샨티","조 디스펜자 지음, 추미란 옮김","25,000","22,500","2,500","10%","1,250점","20191216","13686"
"969","국내도서","뭐가 다를까? 다른그림찾기 1000","K052837831","9791164064403","73650","길벗스쿨","레이크 프레스 구성","8,800","7,920","880","10%","440점","20220520","13226"
"970","국내도서","타시로, 너란 녀석은 2","K262837017","9791136752420","","서울미디어코믹스(서울문화사)","야마다 지음, 오하라 옮김","5,500","4,950","550","10%","270점","20220427","13104"
"971","국내도서","2023 해커스공무원 신민숙 쉬운국어 문학ㆍ비문학 필기노트 (9급 공무원, 7급 공무원)","K752838395","9791168803169","13710","해커스공무원","신민숙 지음","15,500","13,950","1,550","10%","770점","20220707","12986"
"972","국내도서","당신의 생각을 정리해드립니다","K712739236","9791162542040","03190","비즈니스북스","복주환 지음","16,000","14,400","1,600","10%","800점","20210316","12928"
"973","국내도서","2023 제과제빵기능사 필기 유튜버 빵선생의 과외교실","K102734584","9791160091250","13370","고시고시(더배움)","김연진 지음","20,000","18,000","2,000","10%","1,000점","20230110","12877"
"974","국내도서","2023 에듀윌 산업안전기사 필기 한권끝장 [이론편+기출문제편]","K082830916","9791136019677","13530","에듀윌","최창률 지음","35,000","31,500","3,500","10%","1,750점","20230102","12535"
"975","국내도서","운동화 신은 뇌","8992759118","9788992759113","03400","녹색지팡이","에릭 헤이거먼. 존 레이티 지음, 이상헌 옮김, 김영보 감수","13,500","12,150","1,350","10%","670점","20090905","11671"
"976","국내도서","나는 돈이 없어도 사업을 한다","K512531637","9791186805886","03320","비즈니스북스","프레이저 도허티 지음, 박홍경 옮김, 명승은 감수","15,000","13,500","1,500","10%","750점","20171030","10646"
"977","국내도서","동산의 샘","K942831392","9791165044046","03230","규장(규장문화사)","제시카 윤 지음","25,000","22,500","2,500","10%","1,250점","20230131","9100"
